Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.6698737740516663, 0.7821111679077148, 2.506342013930407e-07]","[0.7727368474006653, 0.7027450799942017, -0.11111374944448471]","[0.8003495931625366, 0.5583856105804443, -0.18606281280517578]","[0.7578595876693726, 0.4368143379688263, -0.25273191928863525]","[0.715560793876648, 0.32142895460128784, -0.3140212297439575]","[0.6260610818862915, 0.36568278074264526, -0.18360674381256104]","[0.5049642324447632, 0.20409274101257324, -0.3252940773963928]","[0.4164208173751831, 0.11716623604297638, -0.4074278175830841]","[0.3155021667480469, 0.04881569743156433, -0.45828941464424133]","[0.5063815116882324, 0.4277104437351227, -0.19218707084655762]","[0.5494160056114197, 0.3686937391757965, -0.3548555076122284]","[0.686152458190918, 0.506767988204956, -0.38460689783096313]","[0.7506732940673828, 0.5896086692810059, -0.37692829966545105]","[0.43275171518325806, 0.53914475440979, -0.2135162055492401]","[0.5357725024223328, 0.549976110458374, -0.37394633889198303]","[0.6540487408638, 0.6784297227859497, -0.34229356050491333]","[0.6899396181106567, 0.7278646230697632, -0.28738710284233093]","[0.3850003480911255, 0.6710047721862793, -0.24441705644130707]","[0.49117299914360046, 0.6964414119720459, -0.35590118169784546]","[0.5894678235054016, 0.7672121524810791, -0.3356567919254303]","[0.6179227232933044, 0.782976508140564, -0.2986980080604553]"
"[0.5961686968803406, 0.7958688735961914, 2.6344196157879196e-08]","[0.6493825316429138, 0.6787818670272827, -0.14064888656139374]","[0.6580377817153931, 0.48151665925979614, -0.1730337142944336]","[0.5765916705131531, 0.3323567509651184, -0.18364907801151276]","[0.5016201138496399, 0.21511287987232208, -0.17384718358516693]","[0.6211787462234497, 0.32167017459869385, -0.04664873331785202]","[0.528440535068512, 0.1835458129644394, -0.12627574801445007]","[0.45692378282546997, 0.1004728376865387, -0.1626427173614502]","[0.39416682720184326, -0.002184569835662842, -0.18119898438453674]","[0.5274605751037598, 0.3731198012828827, -0.0115839634090662]","[0.4394042193889618, 0.31318941712379456, -0.10012999922037125]","[0.49538910388946533, 0.45966702699661255, -0.10290426015853882]","[0.5475274324417114, 0.47035691142082214, -0.07948002219200134]","[0.45113542675971985, 0.4404928386211395, -0.00251767341978848]","[0.36249274015426636, 0.3985455334186554, -0.12160580605268478]","[0.44008946418762207, 0.5429896116256714, -0.10516046732664108]","[0.503232479095459, 0.539110541343689, -0.06264402717351913]","[0.384967565536499, 0.515975832939148, -0.005857044365257025]","[0.32055267691612244, 0.4815240800380707, -0.09261716157197952]","[0.38704973459243774, 0.5801762938499451, -0.08419021964073181]","[0.43921637535095215, 0.5945526361465454, -0.05715056508779526]"
"[0.743972659111023, 0.7282223105430603, -1.2378207259189367e-07]","[0.7768670320510864, 0.5950090885162354, -0.11912982910871506]","[0.6853098273277283, 0.4040818214416504, -0.14435139298439026]","[0.5252613425254822, 0.30571261048316956, -0.15047700703144073]","[0.39538246393203735, 0.26694783568382263, -0.1376660317182541]","[0.5299475193023682, 0.29441383481025696, -0.04416225850582123]","[0.3630286455154419, 0.21790289878845215, -0.12640871107578278]","[0.2577771544456482, 0.1960507333278656, -0.17539367079734802]","[0.1481330394744873, 0.15196967124938965, -0.20386554300785065]","[0.4692450165748596, 0.3862869143486023, -0.0152543680742383]","[0.36336666345596313, 0.37850579619407654, -0.0949634537100792]","[0.4958290159702301, 0.47240060567855835, -0.10633456707000732]","[0.5542365908622742, 0.46902474761009216, -0.09636679291725159]","[0.43085938692092896, 0.48036685585975647, -0.008727417327463627]","[0.34833645820617676, 0.48593640327453613, -0.11386661231517792]","[0.4912753105163574, 0.5696436166763306, -0.10135290026664734]","[0.5458601713180542, 0.553092896938324, -0.06778831779956818]","[0.41007643938064575, 0.5742735266685486, -0.012916985899209976]","[0.35925883054733276, 0.5730449557304382, -0.09302074462175369]","[0.467856764793396, 0.62861168384552, -0.08696882426738739]","[0.5169073939323425, 0.626691460609436, -0.06429493427276611]"
"[0.7083468437194824, 0.7873007655143738, -1.764158099604174e-07]","[0.8050622940063477, 0.6626325249671936, -0.09865625202655792]","[0.7976605892181396, 0.46164435148239136, -0.12594352662563324]","[0.6747089624404907, 0.3321238160133362, -0.13838258385658264]","[0.5696234703063965, 0.2623940110206604, -0.13632845878601074]","[0.6045632362365723, 0.3232094645500183, -0.062027279287576675]","[0.4642089009284973, 0.18038730323314667, -0.14553630352020264]","[0.36180493235588074, 0.09845566749572754, -0.18777693808078766]","[0.2581668198108673, 0.02488607168197632, -0.21095328032970428]","[0.5049076676368713, 0.4105956256389618, -0.046792156994342804]","[0.46015626192092896, 0.33572185039520264, -0.1220821663737297]","[0.5828653573989868, 0.4747847616672516, -0.11366523802280426]","[0.6153038144111633, 0.4855516254901886, -0.08922241628170013]","[0.43034952878952026, 0.49908024072647095, -0.04978935793042183]","[0.3870979845523834, 0.4241751730442047, -0.1451595425605774]","[0.5140103697776794, 0.5458629131317139, -0.10156971216201782]","[0.5361262559890747, 0.5520274639129639, -0.049207840114831924]","[0.364268958568573, 0.6054614186286926, -0.06267496198415756]","[0.3338705897331238, 0.5322107076644897, -0.12243214249610901]","[0.440143346786499, 0.6004865765571594, -0.08471766114234924]","[0.46188831329345703, 0.6248356699943542, -0.04314693808555603]"
"[0.724473774433136, 0.6805845499038696, -1.2744749255944043e-07]","[0.7870553731918335, 0.5470286011695862, -0.06754353642463684]","[0.7025983333587646, 0.34947261214256287, -0.08008536696434021]","[0.5532718300819397, 0.24540278315544128, -0.08720216155052185]","[0.4313909709453583, 0.20925435423851013, -0.09183820337057114]","[0.5108779668807983, 0.30869919061660767, -0.030019650235772133]","[0.3595741093158722, 0.21100810170173645, -0.09107253700494766]","[0.2520870268344879, 0.15689073503017426, -0.12794356048107147]","[0.15748614072799683, 0.11011575162410736, -0.15553942322731018]","[0.4477938413619995, 0.40322354435920715, -0.033675894141197205]","[0.3454875648021698, 0.3310306966304779, -0.13205401599407196]","[0.46803632378578186, 0.41980668902397156, -0.16017432510852814]","[0.5503032803535461, 0.4619211256504059, -0.15389738976955414]","[0.4155800938606262, 0.5086300373077393, -0.047649696469306946]","[0.3384115993976593, 0.4673192799091339, -0.16003380715847015]","[0.46944794058799744, 0.5402444005012512, -0.14873956143856049]","[0.5393256545066833, 0.556365966796875, -0.11066029965877533]","[0.4007924199104309, 0.6228235960006714, -0.06575766205787659]","[0.3254283666610718, 0.5794395208358765, -0.1432010978460312]","[0.4279647171497345, 0.6172322034835815, -0.12633594870567322]","[0.48940572142601013, 0.6311119794845581, -0.09600570797920227]"
"[0.5741095542907715, 0.8205512762069702, -2.2074519279158267e-07]","[0.6678882837295532, 0.6837748885154724, -0.11468078941106796]","[0.6908504962921143, 0.49045777320861816, -0.14298050105571747]","[0.5973950624465942, 0.3276151418685913, -0.15489117801189423]","[0.5175198912620544, 0.22055456042289734, -0.1477767825126648]","[0.6587496399879456, 0.33061739802360535, -0.030259011313319206]","[0.5537333488464355, 0.17316454648971558, -0.10526645928621292]","[0.46864181756973267, 0.09652945399284363, -0.1500019133090973]","[0.39324620366096497, 0.013690590858459473, -0.17324046790599823]","[0.5611117482185364, 0.38309532403945923, -0.0014176750555634499]","[0.4488484859466553, 0.3246081471443176, -0.06685636937618256]","[0.49025407433509827, 0.4580304026603699, -0.07577560842037201]","[0.5459209680557251, 0.4717636704444885, -0.06819187849760056]","[0.4793151319026947, 0.4476771056652069, 0.004957194440066814]","[0.3721390664577484, 0.41336190700531006, -0.08198545128107071]","[0.44218873977661133, 0.5435316562652588, -0.06972112506628036]","[0.5067305564880371, 0.5453439950942993, -0.0420672707259655]","[0.4107816815376282, 0.5201520919799805, -8.729221735848114e-05]","[0.3450569808483124, 0.49253368377685547, -0.06142362207174301]","[0.39556145668029785, 0.5814326405525208, -0.05010717362165451]","[0.4353335201740265, 0.5977890491485596, -0.027848759666085243]"
"[0.8791418671607971, 0.46951645612716675, -8.746289381633687e-08]","[0.8344733119010925, 0.3339764475822449, -0.06796848028898239]","[0.695942759513855, 0.22608856856822968, -0.1116548627614975]","[0.5600965023040771, 0.22263303399085999, -0.15322209894657135]","[0.4633488655090332, 0.30042800307273865, -0.18997591733932495]","[0.46646881103515625, 0.3028242290019989, -0.07875338941812515]","[0.274189293384552, 0.3471089005470276, -0.17620989680290222]","[0.1411438286304474, 0.372315913438797, -0.23977428674697876]","[0.03261846303939819, 0.40882694721221924, -0.27954691648483276]","[0.4689503312110901, 0.44713902473449707, -0.08202070742845535]","[0.3998444974422455, 0.4486289620399475, -0.19850799441337585]","[0.592194676399231, 0.4314604699611664, -0.21124006807804108]","[0.6680929660797119, 0.4174148440361023, -0.19363552331924438]","[0.4949485659599304, 0.5701696872711182, -0.09530746191740036]","[0.4118012487888336, 0.5834489464759827, -0.207875058054924]","[0.5720272660255432, 0.5442825555801392, -0.16476240754127502]","[0.6412107944488525, 0.5234285593032837, -0.10817406326532364]","[0.5376993417739868, 0.6827194690704346, -0.11447925120592117]","[0.46532028913497925, 0.694615364074707, -0.1839325726032257]","[0.5731832981109619, 0.6518019437789917, -0.14536011219024658]","[0.6259794235229492, 0.6256347894668579, -0.09974813461303711]"
"[0.872427225112915, 0.5276174545288086, -1.6249511247679038e-07]","[0.8488736152648926, 0.3952898681163788, -0.11143948882818222]","[0.7259818315505981, 0.2635078430175781, -0.16592124104499817]","[0.575063169002533, 0.25469207763671875, -0.20445290207862854]","[0.4528099298477173, 0.2691969871520996, -0.2303750067949295]","[0.48051145672798157, 0.2999172806739807, -0.1387028843164444]","[0.25633352994918823, 0.2949407994747162, -0.266480416059494]","[0.09183421730995178, 0.3084070682525635, -0.3352181613445282]","[-0.052345067262649536, 0.33031731843948364, -0.3721316158771515]","[0.47602224349975586, 0.4338594079017639, -0.12393662333488464]","[0.4258325695991516, 0.40777233242988586, -0.24646952748298645]","[0.6087414026260376, 0.41786423325538635, -0.23887203633785248]","[0.6374444961547852, 0.4223226010799408, -0.2088068723678589]","[0.4898585379123688, 0.5577428340911865, -0.12635575234889984]","[0.42969414591789246, 0.5318545699119568, -0.2618413269519806]","[0.5957784652709961, 0.5183638334274292, -0.20781052112579346]","[0.612632155418396, 0.5175718665122986, -0.1422809213399887]","[0.5243005156517029, 0.6839024424552917, -0.1378549039363861]","[0.48057878017425537, 0.6493862271308899, -0.21895670890808105]","[0.5963268876075745, 0.6111459732055664, -0.1694868803024292]","[0.6231487393379211, 0.6132452487945557, -0.11488064378499985]"
"[0.8237284421920776, 0.49722152948379517, -3.3644332120275067e-07]","[0.8052166700363159, 0.36204373836517334, -0.14431777596473694]","[0.6106456518173218, 0.28489869832992554, -0.1803000569343567]","[0.42188769578933716, 0.3377012610435486, -0.1897282898426056]","[0.3020632266998291, 0.42338523268699646, -0.1820380985736847]","[0.39661121368408203, 0.33518698811531067, -0.08724669367074966]","[0.22124196588993073, 0.39091911911964417, -0.17441873252391815]","[0.12505319714546204, 0.4439050257205963, -0.20657147467136383]","[0.025822818279266357, 0.482632577419281, -0.22145143151283264]","[0.41291260719299316, 0.45888108015060425, -0.05185762420296669]","[0.3242725729942322, 0.5338547229766846, -0.15291404724121094]","[0.49059438705444336, 0.513157308101654, -0.15104404091835022]","[0.5314369797706604, 0.4604336619377136, -0.12154648452997208]","[0.4473022520542145, 0.563926100730896, -0.040533214807510376]","[0.3957979679107666, 0.6328005790710449, -0.16740748286247253]","[0.558045506477356, 0.5879487991333008, -0.14341706037521362]","[0.5787374377250671, 0.5301282405853271, -0.09485889226198196]","[0.4985717833042145, 0.6572068929672241, -0.04131586104631424]","[0.454950749874115, 0.7077184915542603, -0.13654989004135132]","[0.5715306997299194, 0.6645328998565674, -0.12825021147727966]","[0.6032925844192505, 0.6233601570129395, -0.09978928416967392]"
"[0.8229925632476807, 0.5613887310028076, 2.673087919902173e-07]","[0.7846555709838867, 0.408655047416687, -0.08835629373788834]","[0.6125320196151733, 0.2825729548931122, -0.10919550061225891]","[0.4299238324165344, 0.264394611120224, -0.1212407648563385]","[0.300420880317688, 0.29153376817703247, -0.12461687624454498]","[0.4208773076534271, 0.3405885398387909, -0.032965805381536484]","[0.23654156923294067, 0.3335595428943634, -0.09651829302310944]","[0.11412861943244934, 0.32481929659843445, -0.1273433417081833]","[0.00640493631362915, 0.31108805537223816, -0.14878340065479279]","[0.4146472215652466, 0.4490443170070648, -0.02760324254631996]","[0.28773316740989685, 0.44892618060112, -0.12772446870803833]","[0.43759340047836304, 0.4646674394607544, -0.1467810869216919]","[0.5195449590682983, 0.44738584756851196, -0.13190704584121704]","[0.4390803575515747, 0.5522889494895935, -0.0368213877081871]","[0.3547086715698242, 0.5724344253540039, -0.1490354835987091]","[0.5048791170120239, 0.5659465789794922, -0.13071352243423462]","[0.5653183460235596, 0.5315089225769043, -0.08709535002708435]","[0.48292142152786255, 0.6522892117500305, -0.05327162519097328]","[0.40306565165519714, 0.6650618314743042, -0.12820309400558472]","[0.5072662830352783, 0.6466050148010254, -0.11117205023765564]","[0.5611835718154907, 0.6215792894363403, -0.07991480082273483]"
"[0.6885603666305542, 0.7812892198562622, -4.2836521174649533e-07]","[0.7755022644996643, 0.6079885363578796, -0.11753726005554199]","[0.7257667779922485, 0.394113153219223, -0.14469748735427856]","[0.5409141182899475, 0.2700367569923401, -0.15358172357082367]","[0.39660772681236267, 0.22134165465831757, -0.14153118431568146]","[0.5792995691299438, 0.28274011611938477, -0.042189501225948334]","[0.415449321269989, 0.15207940340042114, -0.14666785299777985]","[0.29606419801712036, 0.11800189316272736, -0.21049124002456665]","[0.18380990624427795, 0.06759513914585114, -0.24427205324172974]","[0.4852447509765625, 0.37737977504730225, -0.021015005186200142]","[0.3685670495033264, 0.32521963119506836, -0.09937310218811035]","[0.4757823944091797, 0.45033931732177734, -0.10883786529302597]","[0.5500918626785278, 0.4479672908782959, -0.10350941121578217]","[0.42138221859931946, 0.4735445976257324, -0.025531578809022903]","[0.3159627914428711, 0.43367651104927063, -0.12878671288490295]","[0.43708860874176025, 0.5515837073326111, -0.10567206144332886]","[0.5068724155426025, 0.5325026512145996, -0.06967415660619736]","[0.36961227655410767, 0.5742146968841553, -0.04250611737370491]","[0.2844960391521454, 0.5373462438583374, -0.11098089069128036]","[0.37651288509368896, 0.6136852502822876, -0.0908135324716568]","[0.4293416142463684, 0.619401216506958, -0.0631350725889206]"
"[0.7617742419242859, 0.6283380389213562, -2.9237043008834007e-07]","[0.8018358945846558, 0.49829965829849243, -0.10125122219324112]","[0.6787822246551514, 0.34948793053627014, -0.12376723438501358]","[0.5156912803649902, 0.28545674681663513, -0.13186457753181458]","[0.3884272575378418, 0.2751352787017822, -0.1302545666694641]","[0.47176393866539, 0.3223257064819336, -0.059086088091135025]","[0.3011966347694397, 0.2702257037162781, -0.1314457505941391]","[0.18859869241714478, 0.24921277165412903, -0.16222336888313293]","[0.09121200442314148, 0.2311755269765854, -0.17894218862056732]","[0.4439812898635864, 0.42903855443000793, -0.04172288253903389]","[0.33413469791412354, 0.4213249981403351, -0.12970606982707977]","[0.472760409116745, 0.4805038869380951, -0.1305438131093979]","[0.5437906384468079, 0.46474307775497437, -0.10628848522901535]","[0.43888452649116516, 0.5309643149375916, -0.04218176752328873]","[0.3561527729034424, 0.5434387922286987, -0.14860357344150543]","[0.4925450086593628, 0.5777255296707153, -0.12429437786340714]","[0.5481037497520447, 0.5429825782775879, -0.07960283756256104]","[0.45023736357688904, 0.6325066089630127, -0.05132482200860977]","[0.3709794878959656, 0.6469900608062744, -0.12604039907455444]","[0.4718749523162842, 0.65468430519104, -0.11072374135255814]","[0.5275003910064697, 0.6311612725257874, -0.0813337191939354]"
"[0.8201632499694824, 0.5995275378227234, 2.8887856728943007e-07]","[0.857170581817627, 0.5054199695587158, -0.1206180676817894]","[0.8030339479446411, 0.3783312141895294, -0.20637287199497223]","[0.6912583112716675, 0.3187143802642822, -0.28133541345596313]","[0.5812482833862305, 0.2579613924026489, -0.3538195788860321]","[0.5455406904220581, 0.33042675256729126, -0.1810116022825241]","[0.3440427780151367, 0.28159427642822266, -0.3106808364391327]","[0.20832553505897522, 0.2589254379272461, -0.37665748596191406]","[0.08870431780815125, 0.2661028206348419, -0.41839757561683655]","[0.4813011884689331, 0.4507838189601898, -0.18309788405895233]","[0.46402406692504883, 0.3730168044567108, -0.3537728190422058]","[0.6660475134849548, 0.41160881519317627, -0.3717603385448456]","[0.7584601640701294, 0.4473595917224884, -0.34649133682250977]","[0.47655609250068665, 0.5809333324432373, -0.19845180213451385]","[0.5288759469985962, 0.5378814339637756, -0.36905643343925476]","[0.713878870010376, 0.564700186252594, -0.3299524486064911]","[0.7791927456855774, 0.5791195034980774, -0.2642805874347687]","[0.5068948268890381, 0.7156903743743896, -0.222345769405365]","[0.5806269645690918, 0.6931806802749634, -0.34736910462379456]","[0.7247174978256226, 0.6821850538253784, -0.3266929090023041]","[0.7678543329238892, 0.6679563522338867, -0.284149706363678]"
"[0.6382798552513123, 0.7490377426147461, -3.1633433650313236e-07]","[0.6818985939025879, 0.6426341533660889, -0.10314202308654785]","[0.6596388816833496, 0.4446738064289093, -0.12132908403873444]","[0.5535262227058411, 0.30685269832611084, -0.12470538914203644]","[0.45489662885665894, 0.2252156287431717, -0.1109485998749733]","[0.5842522382736206, 0.3057890832424164, -0.024164792150259018]","[0.4741426706314087, 0.18468569219112396, -0.09762338548898697]","[0.3881392478942871, 0.12329614162445068, -0.13816051185131073]","[0.3061676025390625, 0.046391308307647705, -0.1621507853269577]","[0.5025559067726135, 0.36913639307022095, -0.0030492208898067474]","[0.40790796279907227, 0.33376407623291016, -0.08272888511419296]","[0.48748958110809326, 0.46089842915534973, -0.08926122635602951]","[0.5392483472824097, 0.4685511589050293, -0.07468786090612411]","[0.44072234630584717, 0.44601041078567505, -0.0027660022024065256]","[0.34906452894210815, 0.4193442463874817, -0.10428466647863388]","[0.45064088702201843, 0.5378530025482178, -0.08396445214748383]","[0.5101596713066101, 0.5401721596717834, -0.046201951801776886]","[0.39152222871780396, 0.5324252247810364, -0.012356274761259556]","[0.32286256551742554, 0.5051295161247253, -0.08816390484571457]","[0.4020228385925293, 0.5858575105667114, -0.07663469016551971]","[0.4547826945781708, 0.5991002917289734, -0.05098486319184303]"
"[0.8306406736373901, 0.48998722434043884, -3.4553769978629134e-07]","[0.8049920797348022, 0.3607218265533447, -0.14132006466388702]","[0.6108757257461548, 0.28587618470191956, -0.17561104893684387]","[0.42248907685279846, 0.33603888750076294, -0.18385019898414612]","[0.3048517405986786, 0.42008158564567566, -0.17430268228054047]","[0.39622214436531067, 0.335306853055954, -0.08350673317909241]","[0.21849988400936127, 0.3942663073539734, -0.1699519157409668]","[0.12119433283805847, 0.4505767226219177, -0.2029910534620285]","[0.01933315396308899, 0.4915158748626709, -0.2189338654279709]","[0.4142218232154846, 0.45526933670043945, -0.04922778159379959]","[0.3293980360031128, 0.534690260887146, -0.15049652755260468]","[0.49597880244255066, 0.511771559715271, -0.14998048543930054]","[0.536851704120636, 0.45675674080848694, -0.12185977399349213]","[0.450356662273407, 0.5576491355895996, -0.03866063058376312]","[0.40208929777145386, 0.6310914754867554, -0.1635919064283371]","[0.5619919896125793, 0.5844414234161377, -0.139440655708313]","[0.5819021463394165, 0.5251258611679077, -0.0916462391614914]","[0.5024749636650085, 0.6486266851425171, -0.040269434452056885]","[0.4611257314682007, 0.7038455009460449, -0.13379989564418793]","[0.5765739679336548, 0.6596149206161499, -0.12499713152647018]","[0.6070176362991333, 0.6162522435188293, -0.09633123129606247]"
"[0.8189436197280884, 0.568691611289978, 1.3964705658509047e-07]","[0.8056362271308899, 0.4295351505279541, -0.13757434487342834]","[0.6219779253005981, 0.31281548738479614, -0.16887260973453522]","[0.4314708709716797, 0.32218265533447266, -0.1726175993680954]","[0.3023434281349182, 0.3622972071170807, -0.15379568934440613]","[0.41707247495651245, 0.30808064341545105, -0.08969878405332565]","[0.219101220369339, 0.3324498236179352, -0.1874382048845291]","[0.0986129641532898, 0.3523328900337219, -0.24315252900123596]","[-0.024331748485565186, 0.3498059809207916, -0.27602049708366394]","[0.4082399606704712, 0.4229535460472107, -0.04786141961812973]","[0.32773301005363464, 0.464097261428833, -0.11982572823762894]","[0.5047392845153809, 0.4894528090953827, -0.10667503625154495]","[0.5423110127449036, 0.4464876353740692, -0.08157547563314438]","[0.42239275574684143, 0.5215067863464355, -0.0315064936876297]","[0.3664734661579132, 0.5573052167892456, -0.1283266693353653]","[0.5359851121902466, 0.5619101524353027, -0.09406092017889023]","[0.5618636608123779, 0.5100479125976562, -0.04994545131921768]","[0.44824737310409546, 0.6071889996528625, -0.027754856273531914]","[0.4143867790699005, 0.6278324127197266, -0.10088393092155457]","[0.541131317615509, 0.6205219626426697, -0.08234576135873795]","[0.5726271867752075, 0.5892492532730103, -0.053357504308223724]"
"[0.6335106492042542, 0.8158092498779297, -2.7238435507115355e-08]","[0.7461563348770142, 0.7621671557426453, -0.11681029200553894]","[0.8127834796905518, 0.6197205185890198, -0.21018919348716736]","[0.7819198369979858, 0.48289620876312256, -0.2957117259502411]","[0.743236780166626, 0.35680362582206726, -0.376713365316391]","[0.6515589952468872, 0.3862299621105194, -0.18595106899738312]","[0.540037989616394, 0.18800577521324158, -0.3167855143547058]","[0.4607536196708679, 0.08145573735237122, -0.37235042452812195]","[0.3760007917881012, 0.009984910488128662, -0.4049595892429352]","[0.5071883201599121, 0.425046443939209, -0.18866056203842163]","[0.5767234563827515, 0.351593941450119, -0.35692936182022095]","[0.7056979537010193, 0.5269461274147034, -0.3602299392223358]","[0.7232189774513245, 0.608762264251709, -0.3255663216114044]","[0.4088926315307617, 0.5172514915466309, -0.20484451949596405]","[0.5259768962860107, 0.5300740003585815, -0.3704617917537689]","[0.6409770250320435, 0.6737279891967773, -0.3168407082557678]","[0.6466264128684998, 0.7249976992607117, -0.24460545182228088]","[0.32820624113082886, 0.6413615942001343, -0.23003071546554565]","[0.44207799434661865, 0.6796627044677734, -0.339579313993454]","[0.5549440383911133, 0.7658200860023499, -0.30627086758613586]","[0.5698177814483643, 0.7864787578582764, -0.25792789459228516]"
"[0.8019682765007019, 0.6263896822929382, 7.047371042290251e-08]","[0.8179250955581665, 0.4965161085128784, -0.13165858387947083]","[0.6546383500099182, 0.3334480822086334, -0.15691974759101868]","[0.46614640951156616, 0.304058313369751, -0.15590426325798035]","[0.3388042449951172, 0.3256172835826874, -0.1328698694705963]","[0.46138787269592285, 0.29240182042121887, -0.07759775966405869]","[0.27583345770835876, 0.28178536891937256, -0.1710139960050583]","[0.173140287399292, 0.28389492630958557, -0.22557760775089264]","[0.05678278207778931, 0.2614861726760864, -0.2579507827758789]","[0.42481762170791626, 0.4075567424297333, -0.038145601749420166]","[0.3385009765625, 0.42272651195526123, -0.1113116443157196]","[0.5079798698425293, 0.4799923300743103, -0.10123565047979355]","[0.5432774424552917, 0.4516907334327698, -0.07664144784212112]","[0.418457567691803, 0.5099148154258728, -0.02328835241496563]","[0.3548290431499481, 0.5267113447189331, -0.11933474242687225]","[0.5190140008926392, 0.5607465505599976, -0.08513905853033066]","[0.5493747591972351, 0.523762583732605, -0.04057300463318825]","[0.4237985908985138, 0.6012918949127197, -0.020532039925456047]","[0.3898996114730835, 0.6083405017852783, -0.08706547319889069]","[0.5111808776855469, 0.6244603395462036, -0.06494041532278061]","[0.5402575135231018, 0.6051658391952515, -0.034766945987939835]"
"[0.7995491027832031, 0.48621517419815063, -2.2420930179123388e-07]","[0.7522154450416565, 0.35301631689071655, -0.09791687875986099]","[0.5667304396629333, 0.28164586424827576, -0.12125462293624878]","[0.389861524105072, 0.3025016188621521, -0.1319463551044464]","[0.27180516719818115, 0.35349008440971375, -0.13258379697799683]","[0.38155779242515564, 0.35096195340156555, -0.04833899065852165]","[0.19874513149261475, 0.382904976606369, -0.11600831896066666]","[0.08329048752784729, 0.4116251468658447, -0.14322583377361298]","[-0.010356694459915161, 0.44006630778312683, -0.15708816051483154]","[0.4060593545436859, 0.4604288935661316, -0.03422528877854347]","[0.2926981747150421, 0.49626919627189636, -0.12580639123916626]","[0.4428336024284363, 0.4904879331588745, -0.1283401995897293]","[0.5039278864860535, 0.4588537812232971, -0.1016269400715828]","[0.44914454221725464, 0.5544374585151672, -0.037545084953308105]","[0.37270134687423706, 0.6005129814147949, -0.1461409479379654]","[0.5133749842643738, 0.5673205852508545, -0.12281776964664459]","[0.5503745675086975, 0.5225059986114502, -0.07644446939229965]","[0.5088815093040466, 0.6415021419525146, -0.049070991575717926]","[0.44055357575416565, 0.6828480958938599, -0.12254870682954788]","[0.5357264280319214, 0.6413713693618774, -0.10607375204563141]","[0.5740967988967896, 0.6018562316894531, -0.07548856735229492]"
"[0.6863093376159668, 0.7104133367538452, -1.847481598815648e-07]","[0.7106492519378662, 0.6070126295089722, -0.12456020712852478]","[0.6354602575302124, 0.41768699884414673, -0.14543262124061584]","[0.508377194404602, 0.30574139952659607, -0.14681564271450043]","[0.3931683897972107, 0.23900683224201202, -0.12990696728229523]","[0.5403684377670288, 0.2980595827102661, -0.03460339456796646]","[0.40407922863960266, 0.21468597650527954, -0.10942138731479645]","[0.30836930871009827, 0.16978411376476288, -0.14334988594055176]","[0.20943018794059753, 0.10706201195716858, -0.162474125623703]","[0.47528594732284546, 0.382307231426239, -0.004317557439208031]","[0.37450680136680603, 0.3669916093349457, -0.0932290181517601]","[0.4872787892818451, 0.47281718254089355, -0.0955049991607666]","[0.527918815612793, 0.45961856842041016, -0.07123124599456787]","[0.42848896980285645, 0.47139593958854675, 0.0019936542958021164]","[0.340972363948822, 0.4681365489959717, -0.11615143716335297]","[0.47446557879447937, 0.5616919994354248, -0.09565170854330063]","[0.5216136574745178, 0.5374096035957336, -0.050857242196798325]","[0.3941152095794678, 0.5625375509262085, -0.0030356873758137226]","[0.33626487851142883, 0.561840832233429, -0.09616982936859131]","[0.44136008620262146, 0.6242873668670654, -0.09029644727706909]","[0.4886062741279602, 0.615803062915802, -0.06385917216539383]"
"[0.7521956562995911, 0.6952395439147949, -1.6471879860091576e-07]","[0.798997700214386, 0.555980920791626, -0.08153371512889862]","[0.7115356922149658, 0.37835943698883057, -0.10052265226840973]","[0.5598430633544922, 0.28966808319091797, -0.11061737686395645]","[0.4311438500881195, 0.2748693525791168, -0.1142241507768631]","[0.5131231546401978, 0.2975265681743622, -0.030121685937047005]","[0.3553122878074646, 0.21123406291007996, -0.078078992664814]","[0.2483517825603485, 0.16287851333618164, -0.1011127308011055]","[0.15491321682929993, 0.12563422322273254, -0.11898332089185715]","[0.45214009284973145, 0.3931815028190613, -0.02273092418909073]","[0.33762240409851074, 0.3424067199230194, -0.09625666588544846]","[0.46657657623291016, 0.43232136964797974, -0.10125073045492172]","[0.5441144704818726, 0.4525226950645447, -0.08211533725261688]","[0.4226053059101105, 0.49529483914375305, -0.028832970187067986]","[0.3287397027015686, 0.47279924154281616, -0.12081079930067062]","[0.466974139213562, 0.5372156500816345, -0.09990148991346359]","[0.5347118973731995, 0.5370376110076904, -0.061078935861587524]","[0.409183144569397, 0.6057168245315552, -0.042076874524354935]","[0.327999472618103, 0.5873022079467773, -0.11160095036029816]","[0.4328336715698242, 0.6195973753929138, -0.09841488301753998]","[0.4929620027542114, 0.6175099611282349, -0.07295307517051697]"
